vector_count	dimension	vector_workload	filter_workload	selectivity	nlists	k	target_recall	method	runs	seeds	recall_min	recall_mean	recall_max	p50_min_ms	p50_median_ms	p50_max_ms	p95_min_ms	p95_median_ms	p95_max_ms	candidates_scored_mean	lists_probed_mean	oracle_wins	planner_regret_median	planner_regret_max	claim_passed	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier_median	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
10000	128	clustered	correlated	0.05	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.027709	0.027709	0.027709	0.031875	0.031875	0.031875	500.0	0.0	0	1.2582402400031578	1.2582402400031578	true	8.0	16.0	16.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.05	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.023125	0.023125	0.023125	0.025333	0.025333	0.025333	500.0	0.0	1	1.2582402400031578	1.2582402400031578	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.05	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.035458	0.035458	0.035458	0.039791	0.039791	0.039791	500.0	64.0	0	1.2582402400031578	1.2582402400031578	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.05	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.033167	0.033167	0.033167	0.036041	0.036041	0.036041	499.8	45.86	0	1.2582402400031578	1.2582402400031578	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.05	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.602208	0.602208	0.602208	0.642667	0.642667	0.642667	10000.0	64.0	0	1.2582402400031578	1.2582402400031578	true	8.0	16.0	16.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.05	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.030125	0.030125	0.030125	0.033458	0.033458	0.033458	500.0	64.0	0	1.2582402400031578	1.2582402400031578	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.1	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.046666	0.046666	0.046666	0.051333	0.051333	0.051333	1000.0	0.0	0	1.101944873776404	1.101944873776404	true	8.0	16.0	16.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.1	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.042	0.042	0.042	0.046584	0.046584	0.046584	1000.0	0.0	1	1.101944873776404	1.101944873776404	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.1	64	10	0.95	filter_aware	1	51	1.0	1.0	1.0	0.054917	0.054917	0.054917	0.065292	0.065292	0.065292	1000.0	64.0	0	1.101944873776404	1.101944873776404	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.1	64	10	0.95	filter_aware_bound	1	51	1.0	1.0	1.0	0.053875	0.053875	0.053875	0.063416	0.063416	0.063416	998.63	55.46	0	1.101944873776404	1.101944873776404	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.1	64	10	0.95	ivf_postfilter	1	51	1.0	1.0	1.0	0.507208	0.507208	0.507208	0.553292	0.553292	0.553292	10000.0	64.0	0	1.101944873776404	1.101944873776404	true	8.0	16.0	16.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.1	64	10	0.95	ivf_prefilter	1	51	1.0	1.0	1.0	0.048125	0.048125	0.048125	0.052375	0.052375	0.052375	1000.0	64.0	0	1.101944873776404	1.101944873776404	true	8.0	16.0	0.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.5	64	10	0.95	auto	1	51	1.0	1.0	1.0	0.047291	0.047291	0.047291	0.057333	0.057333	0.057333	1232.04	16.0	0	0.9347822542513818	0.9347822542513818	true	8.0	16.0	8.0	2.0	0.5	0.5	4
10000	128	clustered	correlated	0.5	64	10	0.95	exact	1	51	1.0	1.0	1.0	0.188542	0.188542	0.188542	0.205708	0.205708	0.205708	5000.0	0.0	0	0.9347822542513818	0.9347822542513818	true	8.0	16.0	0.0	2.0	0.5	0.5	4
