experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
boundary-n10000-d128-clustered-correlated-s0_01-seed51	10000	128	clustered	correlated	0.01	51	exact	exact	0	true	1.0	0.004584	0.005209	1.0	0.004667	0.005291	100.0	100.0	0.0	0.361791833	0.49315643310546875	0.0555645	7.6187591552734375	727.921875	exact	1.4961254961254962	true	79.65821389195149	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_01-seed51	10000	128	clustered	correlated	0.01	51	ivf_prefilter	ivf_prefilter	64	true	1.0	0.012583	0.014958	1.0	0.012541	0.014333	100.0	100.0	64.0	0.361791833	0.49315643310546875	0.0555645	7.6187591552734375	727.921875	exact	1.4961254961254962	true	79.65821389195149	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_01-seed51	10000	128	clustered	correlated	0.01	51	ivf_postfilter	ivf_postfilter	64	true	1.0	0.871916	0.932708	1.0	0.86425	0.93925	10000.0	10000.0	64.0	0.361791833	0.49315643310546875	0.0555645	7.6187591552734375	727.921875	exact	1.4961254961254962	true	79.65821389195149	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_01-seed51	10000	128	clustered	correlated	0.01	51	filter_aware	filter_aware	64	true	1.0	0.016333	0.019	1.0	0.013791	0.016042	100.0	100.0	64.0	0.361791833	0.49315643310546875	0.0555645	7.6187591552734375	727.921875	exact	1.4961254961254962	true	79.65821389195149	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_01-seed51	10000	128	clustered	correlated	0.01	51	filter_aware_bound	filter_aware_bound	64	true	1.0	0.012542	0.014041	1.0	0.010667	0.011791	100.0	100.0	23.0	0.361791833	0.49315643310546875	0.0555645	7.6187591552734375	727.921875	exact	1.4961254961254962	true	79.65821389195149	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_01-seed51	10000	128	clustered	correlated	0.01	51	auto	exact	0	true	NaN	NaN	NaN	1.0	0.007416	0.007916	100.0	100.0	0.0	0.361791833	0.49315643310546875	0.0555645	7.6187591552734375	727.921875	exact	1.4961254961254962	true	79.65821389195149	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_05-seed51	10000	128	clustered	correlated	0.05	51	exact	exact	0	true	1.0	0.0235	0.028042	1.0	0.023125	0.025333	500.0	500.0	0.0	0.361791833	0.5022354125976562	0.0555645	7.6187591552734375	728.109375	exact	1.2582402400031578	true	17.831552953580644	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_05-seed51	10000	128	clustered	correlated	0.05	51	ivf_prefilter	ivf_prefilter	64	true	1.0	0.030584	0.0335	1.0	0.030125	0.033458	500.0	500.0	64.0	0.361791833	0.5022354125976562	0.0555645	7.6187591552734375	728.109375	exact	1.2582402400031578	true	17.831552953580644	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_05-seed51	10000	128	clustered	correlated	0.05	51	ivf_postfilter	ivf_postfilter	64	true	1.0	0.593833	0.6375	1.0	0.602208	0.642667	10000.0	10000.0	64.0	0.361791833	0.5022354125976562	0.0555645	7.6187591552734375	728.109375	exact	1.2582402400031578	true	17.831552953580644	8.0	16.0	16.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_05-seed51	10000	128	clustered	correlated	0.05	51	filter_aware	filter_aware	64	true	1.0	0.0345	0.039791	1.0	0.035458	0.039791	500.0	500.0	64.0	0.361791833	0.5022354125976562	0.0555645	7.6187591552734375	728.109375	exact	1.2582402400031578	true	17.831552953580644	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_05-seed51	10000	128	clustered	correlated	0.05	51	filter_aware_bound	filter_aware_bound	64	true	1.0	0.033042	0.035875	1.0	0.033167	0.036041	499.8	499.8	45.86	0.361791833	0.5022354125976562	0.0555645	7.6187591552734375	728.109375	exact	1.2582402400031578	true	17.831552953580644	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_05-seed51	10000	128	clustered	correlated	0.05	51	auto	exact	0	true	NaN	NaN	NaN	1.0	0.027709	0.031875	500.0	500.0	0.0	0.361791833	0.5022354125976562	0.0555645	7.6187591552734375	728.109375	exact	1.2582402400031578	true	17.831552953580644	8.0	16.0	16.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_1-seed51	10000	128	clustered	correlated	0.1	51	exact	exact	0	true	1.0	0.045208	0.051583	1.0	0.042	0.046584	1000.0	1000.0	0.0	0.361791833	0.502960205078125	0.0555645	7.6187591552734375	730.8125	exact	1.101944873776404	true	8.724801311971742	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_1-seed51	10000	128	clustered	correlated	0.1	51	ivf_prefilter	ivf_prefilter	64	true	1.0	0.050708	0.061375	1.0	0.048125	0.052375	1000.0	1000.0	64.0	0.361791833	0.502960205078125	0.0555645	7.6187591552734375	730.8125	exact	1.101944873776404	true	8.724801311971742	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_1-seed51	10000	128	clustered	correlated	0.1	51	ivf_postfilter	ivf_postfilter	64	true	1.0	0.497375	0.534375	1.0	0.507208	0.553292	10000.0	10000.0	64.0	0.361791833	0.502960205078125	0.0555645	7.6187591552734375	730.8125	exact	1.101944873776404	true	8.724801311971742	8.0	16.0	16.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_1-seed51	10000	128	clustered	correlated	0.1	51	filter_aware	filter_aware	64	true	1.0	0.053542	0.065125	1.0	0.054917	0.065292	1000.0	1000.0	64.0	0.361791833	0.502960205078125	0.0555645	7.6187591552734375	730.8125	exact	1.101944873776404	true	8.724801311971742	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_1-seed51	10000	128	clustered	correlated	0.1	51	filter_aware_bound	filter_aware_bound	64	true	1.0	0.053667	0.065459	1.0	0.053875	0.063416	998.63	998.63	55.46	0.361791833	0.502960205078125	0.0555645	7.6187591552734375	730.8125	exact	1.101944873776404	true	8.724801311971742	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_1-seed51	10000	128	clustered	correlated	0.1	51	auto	exact	0	true	NaN	NaN	NaN	1.0	0.046666	0.051333	1000.0	1000.0	0.0	0.361791833	0.502960205078125	0.0555645	7.6187591552734375	730.8125	exact	1.101944873776404	true	8.724801311971742	8.0	16.0	16.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_5-seed51	10000	128	clustered	correlated	0.5	51	exact	exact	0	true	1.0	0.216542	0.22825	1.0	0.188542	0.205708	5000.0	5000.0	0.0	0.361791833	0.49773406982421875	0.0555645	7.6187591552734375	734.78125	ivf_prefilter	0.9347822542513818	true	1.6418884758364312	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_5-seed51	10000	128	clustered	correlated	0.5	51	ivf_prefilter	ivf_prefilter	16	true	1.0	0.053125	0.068291	1.0	0.047875	0.061333	1232.04	1232.04	16.0	0.361791833	0.49773406982421875	0.0555645	7.6187591552734375	734.78125	ivf_prefilter	0.9347822542513818	true	1.6418884758364312	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_5-seed51	10000	128	clustered	correlated	0.5	51	ivf_postfilter	ivf_postfilter	16	true	1.0	0.098042	0.12475	0.9840000000000001	0.093708	0.110417	2545.42	2545.42	16.0	0.361791833	0.49773406982421875	0.0555645	7.6187591552734375	734.78125	ivf_prefilter	0.9347822542513818	true	1.6418884758364312	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_5-seed51	10000	128	clustered	correlated	0.5	51	filter_aware	filter_aware	16	true	0.978	0.074625	0.08925	0.981	0.063041	0.071667	1651.14	1651.14	16.0	0.361791833	0.49773406982421875	0.0555645	7.6187591552734375	734.78125	ivf_prefilter	0.9347822542513818	true	1.6418884758364312	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_5-seed51	10000	128	clustered	correlated	0.5	51	filter_aware_bound	filter_aware_bound	16	true	1.0	0.06875	0.090459	0.997	0.058042	0.06725	1442.72	1442.72	16.0	0.361791833	0.49773406982421875	0.0555645	7.6187591552734375	734.78125	ivf_prefilter	0.9347822542513818	true	1.6418884758364312	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s0_5-seed51	10000	128	clustered	correlated	0.5	51	auto	ivf_prefilter	0	true	NaN	NaN	NaN	1.0	0.047291	0.057333	1232.04	1232.04	16.0	0.361791833	0.49773406982421875	0.0555645	7.6187591552734375	734.78125	ivf_prefilter	0.9347822542513818	true	1.6418884758364312	8.0	16.0	8.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s1_0-seed51	10000	128	clustered	correlated	1.0	51	exact	exact	0	true	1.0	0.369875	0.484959	1.0	0.325417	0.400417	10000.0	10000.0	0.0	0.361791833	0.489166259765625	0.0555645	7.6187591552734375	746.5	ivf_prefilter	0.9830890642615558	false	1.0300668151447663	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s1_0-seed51	10000	128	clustered	correlated	1.0	51	ivf_prefilter	ivf_prefilter	16	true	1.0	0.12225	0.152583	1.0	0.091375	0.110875	2545.42	2545.42	16.0	0.361791833	0.489166259765625	0.0555645	7.6187591552734375	746.5	ivf_prefilter	0.9830890642615558	false	1.0300668151447663	8.0	16.0	0.0	2.0	0.5	0.5	4
boundary-n10000-d128-clustered-correlated-s1_0-seed51	10000	128	clustered	correlated	1.0	51	ivf_postfilter	ivf_postfilter	16	true	1.0	0.103666	0.12375	1.0	0.09475	0.115625	2545.42	2545.42	16.0	0.361791833	0.489166259765625	0.0555645	7.6187591552734375	746.5	ivf_prefilter	0.9830890642615558	false	1.0300668151447663	8.0	16.0	8.0	2.0	0.5	0.5	4
