experiment	vector_count	dimension	vector_workload	filter_workload	selectivity	seed	method	executed_methods	selected_nprobe	selection_achieved	train_recall	train_p50_ms	train_p95_ms	heldout_recall	heldout_p50_ms	heldout_p95_ms	candidates_visited	candidates_scored	lists_probed	build_seconds	index_megabytes	postfilter_ranking_seconds	postfilter_ranking_megabytes	maxrss_megabytes	oracle_method	planner_regret	claim_passed	claim_speedup_p95	probe_safety_factor	candidate_multiplier	postfilter_candidate_multiplier	postfilter_safety_factor	vector_weight	filter_weight	rerank_factor
final100k-n100000-d128-clustered-correlated-s0_01-seed50	100000	128	clustered	correlated	0.01	50	auto	exact	0	true	NaN	NaN	NaN	1.0	0.0925	0.100042	1000.0	1000.0	0.0	2.254392958	2.8805999755859375	5.136835792	152.57201385498047	1052.3125	filter_aware	0.918870264064294	true	210.66398163031	8.0	16.0	16.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed50	100000	128	clustered	correlated	0.05	50	exact	exact	0	true	1.0	0.546667	0.96875	1.0	0.402375	0.434209	5000.0	5000.0	0.0	2.254392958	2.8739547729492188	5.136835792	152.57201385498047	1055.78125	ivf_prefilter	1.2299441174901353	true	65.04941493927608	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed50	100000	128	clustered	correlated	0.05	50	ivf_prefilter	ivf_prefilter	64	true	1.0	0.454291	0.494333	1.0	0.387792	0.431083	5000.0	5000.0	64.0	2.254392958	2.8739547729492188	5.136835792	152.57201385498047	1055.78125	ivf_prefilter	1.2299441174901353	true	65.04941493927608	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed50	100000	128	clustered	correlated	0.05	50	ivf_postfilter	ivf_postfilter	64	true	1.0	19.080333	23.163292	1.0	26.385041	31.676333	100000.0	100000.0	64.0	2.254392958	2.8739547729492188	5.136835792	152.57201385498047	1055.78125	ivf_prefilter	1.2299441174901353	true	65.04941493927608	8.0	16.0	64.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed50	100000	128	clustered	correlated	0.05	50	filter_aware	filter_aware	64	true	1.0	0.486625	0.574791	1.0	0.428208	0.501375	5000.0	5000.0	64.0	2.254392958	2.8739547729492188	5.136835792	152.57201385498047	1055.78125	ivf_prefilter	1.2299441174901353	true	65.04941493927608	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed50	100000	128	clustered	correlated	0.05	50	filter_aware_bound	filter_aware_bound	64	true	1.0	0.472791	0.503584	1.0	0.428833	0.486958	4990.655	4990.655	54.91	2.254392958	2.8739547729492188	5.136835792	152.57201385498047	1055.78125	ivf_prefilter	1.2299441174901353	true	65.04941493927608	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_05-seed50	100000	128	clustered	correlated	0.05	50	auto	exact	0	true	NaN	NaN	NaN	1.0	0.458875	0.530208	5000.0	5000.0	0.0	2.254392958	2.8739547729492188	5.136835792	152.57201385498047	1055.78125	ivf_prefilter	1.2299441174901353	true	65.04941493927608	8.0	16.0	64.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed50	100000	128	clustered	correlated	0.1	50	exact	exact	0	true	1.0	1.144542	2.71125	1.0	0.907667	0.997333	10000.0	10000.0	0.0	2.254392958	2.9246368408203125	5.136835792	152.57201385498047	1055.78125	filter_aware_bound	1.1247613566352361	true	25.872468732331516	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed50	100000	128	clustered	correlated	0.1	50	ivf_prefilter	ivf_prefilter	64	true	1.0	0.923792	1.087791	1.0	0.870334	0.943041	10000.0	10000.0	64.0	2.254392958	2.9246368408203125	5.136835792	152.57201385498047	1055.78125	filter_aware_bound	1.1247613566352361	true	25.872468732331516	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed50	100000	128	clustered	correlated	0.1	50	ivf_postfilter	ivf_postfilter	64	true	1.0	18.770167	22.543125	1.0	18.750125	20.409083	100000.0	100000.0	64.0	2.254392958	2.9246368408203125	5.136835792	152.57201385498047	1055.78125	filter_aware_bound	1.1247613566352361	true	25.872468732331516	8.0	16.0	128.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed50	100000	128	clustered	correlated	0.1	50	filter_aware	filter_aware	64	true	1.0	1.080333	1.604208	1.0	0.740542	0.796333	10000.0	10000.0	64.0	2.254392958	2.9246368408203125	5.136835792	152.57201385498047	1055.78125	filter_aware_bound	1.1247613566352361	true	25.872468732331516	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed50	100000	128	clustered	correlated	0.1	50	filter_aware_bound	filter_aware_bound	64	true	1.0	0.944833	1.108875	1.0	0.773875	0.788834	9966.44	9966.44	58.77	2.254392958	2.9246368408203125	5.136835792	152.57201385498047	1055.78125	filter_aware_bound	1.1247613566352361	true	25.872468732331516	8.0	16.0	0.0	2.0	0.5	0.5	4
final100k-n100000-d128-clustered-correlated-s0_1-seed50	100000	128	clustered	correlated	0.1	50	auto	exact	0	true	NaN	NaN	NaN	1.0	0.822959	0.88725	10000.0	10000.0	0.0	2.254392958	2.9246368408203125	5.136835792	152.57201385498047	1055.78125	filter_aware_bound	1.1247613566352361	true	25.872468732331516	8.0	16.0	128.0	2.0	0.5	0.5	4
